Запрос: (гинекология OR сердце) AND пациент
Результаты по запросу:
https://medportal.ru/enc/surgery/appendix/peritonitis/ : https__medportal.ru_enc_surgery_appendix_peritonitis_.html
https://spb.krasotaimedicina.ru/diagnostics/ : https__spb.krasotaimedicina.ru_diagnostics_.html
https://spb.krasotaimedicina.ru/lab-test/ : https__spb.krasotaimedicina.ru_lab-test_.html
https://umedp.ru/ : https__umedp.ru_.html
https://umedp.ru/articles/ : https__umedp.ru_articles_.html
https://umedp.ru/conference/nauchno_prakticheskaya_konferentsiya_s_mezhdunarodnym_uchastiem_dvigatelnye_rasstroystva_u_detey.html : https__umedp.ru_conference_nauchno_prakticheskaya_konferentsiya_s_mezhdunarodnym_uchastiem_dvigatelnye_rasstroystva_u_detey.html.html
https://umedp.ru/conference/old/ : https__umedp.ru_conference_old_.html
https://umedp.ru/conference/photoreports/ : https__umedp.ru_conference_photoreports_.html
https://umedp.ru/news/ : https__umedp.ru_news_.html
https://www.krasotaimedicina.ru/ : https__www.krasotaimedicina.ru_.html
https://www.krasotaimedicina.ru/authors/ : https__www.krasotaimedicina.ru_authors_.html
https://www.krasotaimedicina.ru/diagnostics/ : https__www.krasotaimedicina.ru_diagnostics_.html
https://www.krasotaimedicina.ru/diseases/ : https__www.krasotaimedicina.ru_diseases_.html
https://www.krasotaimedicina.ru/doctor/ : https__www.krasotaimedicina.ru_doctor_.html
https://www.krasotaimedicina.ru/lab-test/ : https__www.krasotaimedicina.ru_lab-test_.html
https://www.krasotaimedicina.ru/news/cardiology/2024-01-23-association-found-between-dark-chocolate-consumption-reduced-risk-of-essential-hypertension.html : https__www.krasotaimedicina.ru_news_cardiology_2024-01-23-association-found-between-dark-chocolate-consumption-reduced-risk-of-essential-hypertension.html.html
https://www.krasotaimedicina.ru/salon/ : https__www.krasotaimedicina.ru_salon_.html
https://www.krasotaimedicina.ru/treatment/ : https__www.krasotaimedicina.ru_treatment_.html
https://www.rmj.ru/articles/bolezni_dykhatelnykh_putey/Federalynye_klinicheskie_rekomendacii_po_diagnostike_i_lecheniyu_hronicheskoy_obstruktivnoy_bolezni_legkih/ : https__www.rmj.ru_articles_bolezni_dykhatelnykh_putey_Federalynye_klinicheskie_rekomendacii_po_diagnostike_i_lecheniyu_hronicheskoy_obstruktivnoy_bolezni_legkih_.html
